55.736465384 10.10.1.2:59230 10.10.2.1:5001 32 0xee3607f6 0xee3607de 10 2147483647 28960 1189 29312
55.736485082 10.10.1.2:59232 10.10.2.1:5001 32 0x2fb27226 0x2fb2720e 10 2147483647 28960 446 29312
55.737739806 10.10.1.2:59234 10.10.2.1:5001 32 0x6f60f1c 0x6f60f04 10 2147483647 28960 445 29312
55.739042960 10.10.1.2:59232 10.10.2.1:5001 32 0x2fb2aab6 0x2fb27226 10 2147483647 29056 441 29312
55.751112029 10.10.1.2:59232 10.10.2.1:5001 32 0x2fb2bbae 0x2fb277ce 11 2147483647 31872 579 29312
55.763120930 10.10.1.2:59232 10.10.2.1:5001 32 0x2fb2bbae 0x2fb27d76 12 2147483647 34816 2209 29312
55.775419866 10.10.1.2:59232 10.10.2.1:5001 32 0x2fb2cca6 0x2fb2831e 13 2147483647 37760 5136 29312
55.787388020 10.10.1.2:59232 10.10.2.1:5001 32 0x2fb2d7f6 0x2fb288c6 14 2147483647 40576 9234 29312
55.799404077 10.10.1.2:59232 10.10.2.1:5001 32 0x2fb2e346 0x2fb28e6e 15 2147483647 43520 14317 29312
55.811245413 10.10.1.2:59232 10.10.2.1:5001 32 0x2fb2ee96 0x2fb29416 16 2147483647 46336 20264 29312
55.823379439 10.10.1.2:59232 10.10.2.1:5001 32 0x2fb2f9e6 0x2fb299be 17 2147483647 49280 26947 29312
55.835323416 10.10.1.2:59232 10.10.2.1:5001 32 0x2fb30536 0x2fb29f66 18 2147483647 52224 34312 29312
55.847200327 10.10.1.2:59232 10.10.2.1:5001 32 0x2fb31086 0x2fb2a50e 19 2147483647 55040 42250 29312
55.859239477 10.10.1.2:59230 10.10.2.1:5001 32 0xee36462e 0xee3607f6 10 2147483647 29056 1105 29312
55.871324319 10.10.1.2:59230 10.10.2.1:5001 32 0xee364bd6 0xee360d9e 11 2147483647 31872 16169 29312
55.883370687 10.10.1.2:59230 10.10.2.1:5001 32 0xee365726 0xee361346 12 2147483647 34816 30861 29312
